chr	start	end	strand	gene	A7BDE-785-01-07-111-0075_T.Aligned.sortedByCoord.out.count	A7BDE-785-02-07-111-0075_U.Aligned.sortedByCoord.out.count	A7BDE-785-03-07-111-0082_T.Aligned.sortedByCoord.out.count	A7BDE-785-04-07-111-0082_U.Aligned.sortedByCoord.out.count	A7BDE-785-05-07-111-0085_T.Aligned.sortedByCoord.out.count
chr17	41246877	41249260	-	BRCA1	233	0	0	0	191
chr17	41244961	41435316	-	CCDC200	0	189	0	0	0
chr13	32953652	32953886	+	BRCA2	1798	586	937	462	2150
chr17	41276132	41277287	-	BRCA1	1454	1671	1121	940	1433
chr13	32812905	32890645	+	FRY	3	0	6	0	0
chr13	32647210	32954249	+	BRCA2	0	1	0	0	0
chr17	41196425	41302690	-	BRCA1	0	0	0	0	18
chr13	32682030	32915301	+	FRY	2	2	1	1	0
chr13	32949840	32950806	+	BRCA2	0	0	1	0	29
chr13	32915333	32920963	+	BRCA2	118	393	1	1	331
chr17	41014852	41246851	-	LINC00671	0	0	0	0	1
chr13	32950928	32953453	+	BRCA2	2726	2891	2300	1164	1078
chr17	41201211	41202078	-	BRCA1	17	0	0	0	0
chr17	41201211	41203079	-	BRCA1	1820	2683	989	424	2242
chr17	41247960	41249260	-	BRCA1	0	0	1	0	0
chr13	32854978	32915302	+	FRY	1	0	0	0	0
chr17	41234592	41242251	-	BRCA1	99	0	0	0	0
chr13	32682030	32915301	+	BRCA2	2	2	1	1	0
chr13	32918788	32920953	+	BRCA2	1	0	0	0	0
chr13	32854978	32954249	+	BRCA2	0	0	0	1	0
chr13	32936830	32937315	+	BRCA2	1266	862	175	314	1
chr13	32929425	32930564	+	BRCA2	530	144	306	182	541
chr13	32727036	32915300	+	BRCA2	0	1	0	0	0
chr17	41228540	41504850	-	LOC101929767	2	0	0	0	0
chr17	41199720	41201137	-	BRCA1	5571	4781	3139	3181	3654
chr13	32932066	32936659	+	BRCA2	1572	826	1513	385	864
chr13	32801505	32950893	+	FRY	0	1	0	0	0
chr17	41276132	41276753	-	BRCA1	40	34	2	30	78
chr17	41267796	41277293	-	BRCA1	108	0	0	208	0
chr17	41014852	41246851	-	VAT1	0	0	0	0	1
chr17	41234589	41242960	-	BRCA1	169	307	362	1	437
chr17	41201159	41458972	-	LOC101929767	0	0	1	0	0
